['MGC10981' 0.00015163997300008961]
['CMTM4' 0.0001515546906403466]
['TFIP11' 0.00015148794846743925]
['HHEX' 0.0001513251236789351]
['AP2M1' 0.0001512736270885235]
['OR8H2' 0.00015125688097681922]
['ANGEL2' 0.00015110242914193362]
['SF3B3' 0.0001509063350256576]
['C6orf115' 0.00015084926823674281]
['ATP2C1' 0.00015079163379672192]
['C8orf31' 0.00015045539333618027]
['BRD9' 0.00015032328915651642]
['MRPL32' 0.00014985795091503864]
['SEMA4C' 0.0001497388269979412]
['JAK3' 0.00014968518460561762]
['TOMM34' 0.00014964343031798343]
['POPDC3' 0.00014903591312089476]
['HIST1H2BD' 0.00014894197561319799]
['S100A5' 0.00014856184487579044]
['SF3B2' 0.0001483462328879936]
['GSDML' 0.00014811194661295255]
['SMARCD3' 0.00014810919810594376]
['SDCCAG3' 0.00014810352389456812]
['C20orf42' 0.00014802857429128716]
['C6orf151' 0.0001479944771057882]
['RBM42' 0.0001477500669924487]
['CDON' 0.00014755527195773764]
['TAS2R49' 0.00014723387094129565]
['PTH' 0.0001471855585628916]
['LPIN1' 0.00014664902067520983]
['PCTK1' 0.00014648343450154844]
['TUBE1' 0.0001463828078150526]
['WBSCR17' 0.000146331698223985]
['CCDC54' 0.00014623815236210704]
['DIAPH3' 0.00014611231337816478]
['AP3M1' 0.000146098592313961]
['RHOH' 0.00014608172688692717]
['INTS8' 0.0001459518695234262]
['CCM2' 0.00014566344934727966]
['TMPRSS3' 0.0001456256222043182]
['PER3' 0.00014555486050850345]
['DYNC2H1' 0.00014546562351117987]
['BTLA' 0.00014533037532028865]
['NRSN1' 0.0001453133728569218]
['TTLL4' 0.00014525035090336608]
['CXorf15' 0.00014509696813484355]
['C11orf49' 0.0001449291326030001]
['C10orf11' 0.00014446858591906685]
['NFKBIE' 0.00014416218415861154]
['HTRA3' 0.00014392745166951504]
['QSER1' 0.0001435580006466225]
['TSPYL5' 0.00014355382410239344]
['GDPD1' 0.0001433786243602117]
['SOSTDC1' 0.00014323690424867635]
['C9orf153' 0.00014319730677859094]
['YLPM1' 0.00014313197191218136]
['ZNF24' 0.00014293944298120057]
['RTN3' 0.00014262750833264872]
['CD151' 0.00014255743912260514]
['ZNF587' 0.0001425349549240018]
['POLR2E' 0.00014208514336044224]
['TARBP1' 0.0001418496884211148]
['C6orf1' 0.00014181324831543225]
['FIBIN' 0.00014153784095159084]
['DDX10' 0.000141264709046686]
['ID2' 0.00014093366783260553]
['NPEPPS' 0.0001407166046421944]
['SPG20' 0.00014049951559268095]
['ARFGEF1' 0.00014041661216614856]
['MLL3' 0.00014031769854594626]
['TGOLN2' 0.00014024024184978933]
['NOL8' 0.00014022306959282995]
['GPR109B' 0.00014001552334373953]
['EIF2S3' 0.00013990286814970728]
['MRPS18A' 0.00013955213328431412]
['KIAA2026' 0.00013934817419490773]
['MAD2L1BP' 0.0001393413434871052]
['VEPH1' 0.00013887075978711677]
['PLCG2' 0.00013871256880873702]
['STX6' 0.00013855961049005257]
['GPR82' 0.00013840630731578032]
['LRP10' 0.00013791883608905018]
['TNKS' 0.00013768906828292353]
['GPRC5C' 0.00013765775434340918]
['ZXDB' 0.00013737132655026562]
['CTSL2' 0.0001373702600140648]
['KIAA1345' 0.00013728202589100008]
['MRPL41' 0.00013719557319392866]
['PADI4' 0.00013711601665270217]
['BIRC6' 0.00013708074917926464]
['LONRF2' 0.00013692409404161086]
['BIN3' 0.00013681346985185112]
['DDX19A' 0.00013664004077561085]
['OR9A2' 0.00013658424577081142]
['ABCA9' 0.00013656502735427282]
['SIX4' 0.00013655965469986072]
['SEPT14' 0.0001365249074502975]
['SAP30' 0.00013624537890346666]
['KDELC2' 0.00013602983441762567]
['HIST1H2AA' 0.00013596181636010417]
['SNX10' 0.00013577602588987891]
['OR1L1' 0.00013559152635088674]
['PRKD3' 0.00013543771281872426]
['USP14' 0.00013533077589762907]
['TNRC6A' 0.00013532803932909466]
['DHX38' 0.000135303888363509]
['MID1IP1' 0.0001352927500566025]
['NAGLU' 0.00013517607530022727]
['LOC653391' 0.0001351552567280353]
['RAF1' 0.00013515227902757867]
['KCNQ3' 0.00013485948307287608]
['C1RL' 0.00013477844034019454]
['PRH2' 0.00013466637672785418]
['CDC40' 0.00013463181801346363]
['RND3' 0.00013457501571494617]
['EHHADH' 0.00013455700242522137]
['USP2' 0.00013452857187781517]
['MGAM' 0.00013440126000812934]
['HOXB7' 0.00013422919243346823]
['CEP170L' 0.00013418703901979564]
['FAM134C' 0.00013409443213259866]
['MEIS1' 0.00013400314156493642]
['TBRG4' 0.00013396054914672348]
['C1orf152' 0.00013387216092113289]
['PURA' 0.00013380624552527861]
['GPR55' 0.00013375127647610095]
['LRRC51' 0.00013374163308297061]
['CYP4F11' 0.0001334857541020461]
['RWDD1' 0.00013344693784126993]
['C10orf57' 0.00013344500787713855]
['DAAM2' 0.00013328317743800991]
['C5orf32' 0.00013326890068364924]
['USP19' 0.00013310795628120528]
['AGBL3' 0.00013305059010025553]
['HOXA2' 0.00013294550653691152]
['MCPH1' 0.00013292394113280533]
['IL1R1' 0.000132819930804565]
['CXorf22' 0.00013280443229987473]
['CYP2C8' 0.0001325707971768143]
['POGK' 0.00013253203999655558]
['RACGAP1P' 0.00013205036529977934]
['TAF5L' 0.000131998731029137]
['TFDP3' 0.00013192020712163706]
['GRLF1' 0.00013186675112776154]
['MXRA7' 0.0001318238578026228]
['PBX3' 0.00013179928131339396]
['PPIF' 0.00013177694414843116]
['PPIL1' 0.00013163256847667038]
['MRPL52' 0.00013154099493928133]
['PRKAG2' 0.0001315312015558753]
['MAP3K7IP3' 0.00013115466661105515]
['OSBPL1A' 0.00013109679565757786]
['KATNA1' 0.0001310661307384076]
['CNOT1' 0.0001309359577421421]
['MRPS35' 0.00013093357320325747]
['COX17' 0.00013092852214179127]
['RNF212' 0.000130917219018817]
['RASSF8' 0.00013085090556102437]
['C6orf204' 0.00013061815268498202]
['PEBP1' 0.0001305346992412417]
['ZNF521' 0.00013044030214597862]
['MYST4' 0.00013042055172461165]
['FAM27E1' 0.00013037053767656954]
['FAM20A' 0.00013031948443671394]
['PDE9A' 0.00013025747545809444]
['TPK1' 0.00013009879959890937]
['TRAV20' 0.0001300251722843148]
['COX7B2' 0.00012984117109272672]
['DYNLT1' 0.00012980859684062136]
['PIK3R4' 0.00012974365955248162]
['RABGGTA' 0.00012971932888362157]
['ZNF462' 0.00012967048909239874]
['FXN' 0.00012960411846837878]
['C1orf217' 0.0001294781723493422]
['NDST2' 0.00012944818878689467]
['ZNF486' 0.00012943652914059432]
['ITSN1' 0.00012930547976669813]
['HOXB3' 0.00012913124196652377]
['ALKBH6' 0.00012906622970602208]
['PDCD2' 0.00012896999359329642]
['EIF3B' 0.00012860273451147458]
['PAQR8' 0.00012846531716244238]
['CLEC4D' 0.00012838757775141593]
['MAP7D3' 0.0001283851508440198]
['TLN2' 0.00012836166906499003]
['INTS10' 0.00012823474653109862]
['PCMT1' 0.00012819167939242464]
['LRRC39' 0.0001279563137747355]
