['CDH18' 0.0003590610619441117]
['MYB' 0.0003586011533303571]
['GEM' 0.0003575458782974208]
['OR52H1' 0.0003571346915523032]
['MRPS18A' 0.00035606506783242124]
['SFRS7' 0.0003527512953560272]
['VN1R4' 0.00035273840971725455]
['ZDHHC6' 0.00035150978040182927]
['OLFM3' 0.0003514958755275451]
['WDR91' 0.00035121394223634034]
['TMEM169' 0.0003506393453282337]
['CCND1' 0.0003505804574257663]
['STX1A' 0.0003500315939514715]
['GALNT5' 0.00034862274807130286]
['PIAS3' 0.0003485940021381704]
['HS6ST2' 0.00034818722699552103]
['MGC119295' 0.00034793378373820013]
['C10orf53' 0.0003460378868826257]
['TPR' 0.0003450095451210962]
['PSMD12' 0.0003448069864719394]
['EDC3' 0.00034320762182164186]
['SLC7A13' 0.0003426778558942877]
['FAM130A2' 0.00034197888754358544]
['CDK9' 0.0003404518616632804]
['SYT11' 0.00033987081314749653]
['HNRNPA1' 0.000339732772052037]
['C9orf79' 0.0003370533379635367]
['ZXDC' 0.00033654168493166953]
['HOMER3' 0.00033608339517669035]
['FOSL1' 0.0003354611378449955]
['NMB' 0.00033517758914104447]
['ICEBERG' 0.0003348917815555552]
['AEBP2' 0.0003336513528677692]
['THRSP' 0.00033296241968422575]
['MRAS' 0.00033281579881569467]
['HAP1' 0.000332557432070303]
['LOC399818' 0.00033143463674317823]
['SFRS11' 0.0003307715491065045]
['TTC12' 0.00032998061521862714]
['HUNK' 0.00032911104581021265]
['HSD17B7' 0.00032845795411642534]
['FAM49A' 0.00032835359029088023]
['KCNH2' 0.0003276944091616332]
['PKDREJ' 0.0003269381633404989]
['OR3A2' 0.00032656446971060776]
['C3orf23' 0.00032533549049377423]
['C19orf50' 0.0003249908349204992]
['TEX2' 0.0003239526474319884]
['BPESC1' 0.0003238188040383684]
['CUTL1' 0.0003234622527517426]
['KCNMA1' 0.0003231066026433613]
['ZNF738' 0.00032289608234689415]
['ADAMTS3' 0.0003209647495393871]
['TRIM62' 0.0003207562963638116]
['ARPP-19' 0.0003200656236640438]
['C5orf38' 0.0003193755915324989]
['CYP17A1' 0.00031894509783195494]
['XKRX' 0.0003186786120508142]
['HSDL2' 0.0003184546595170402]
['C4orf19' 0.00031778686969589275]
['GGA3' 0.0003169271255864963]
['B3GALT2' 0.0003161456591676532]
['CRHR1' 0.0003158122393683283]
['C10orf84' 0.00031565331663387195]
['DDX24' 0.00031479397703106484]
['POM121' 0.0003137802588250905]
['IL4I1' 0.0003133231777777812]
['SGOL1' 0.00031304876457991036]
['PHLDA3' 0.00031268013311300306]
['EPHB3' 0.00031260067359067327]
['PCOLCE' 0.0003115122760248059]
['EPS8L3' 0.00031020556323163367]
['E2F2' 0.0003097130393326972]
['RPS23' 0.00030942794862754374]
['C2orf58' 0.00030855336396058117]
['EDA2R' 0.0003084517167485033]
