,gene,mean,SD
361,AEBP1---Cluster2,0.9627334197244825,0.023724948781842597
13553,SLC1A7,0.9625997291970518,0.07209451023168294
4311,DNAH8,0.962047986849585,0.025961682039647438
10578,PAN2---Cluster2,0.961992170199386,0.014517184704463053
11992,PVT1,0.9617708600273556,0.013998372154187163
11218,PLEKHG6---Cluster1,0.9617215956401584,0.026107289561940437
13612,SLC25A31---Cluster2,0.9615284521061576,0.018690214951950883
14668,TAS2R3---Cluster2,0.9611598802398827,0.010584830921264924
6336,GPX2---Cluster1,0.9608215505660309,0.041811369091017285
3107,CHFR---Cluster5,0.9606885620970834,0.019419002886583825
14753,TCEB3B,0.9600590953328788,0.04816444270024532
7444,ITGA10---Cluster2,0.9599143188393342,0.011752703610248185
1939,C20orf144,0.9597313560108356,0.023198771533739664
3355,CNGB1,0.959698044451626,0.04640889014548152
2924,CDK3---Cluster1,0.9596139062923279,0.056429541168282076
15211,TMEM41A---Cluster2,0.9595367059979396,0.03030382236005309
15496,TRAPPC9---Cluster1,0.9590739460639404,0.02432411982160186
8060,KRT82,0.9588692569445032,0.0510175558404931
12565,RNASE8,0.9588385669864212,0.03601696807184004
696,AOC2,0.9586960991972372,0.03740186658447783
15510,TRIM10,0.9585408061502012,0.04785833605288593
2595,CCDC57---Cluster3,0.9578983406063968,0.02953645395965055
14961,TIAM2---Cluster2,0.9576570770643882,0.030985217241701012
6972,HSD17B3,0.9570439806288232,0.027358643340191658
11364,POM121L1P---Cluster1,0.95695718342,0.02949685349379878
998,ASPRV1,0.956908901667236,0.01927820534767729
6202,GP9---Cluster1,0.9568673354816618,0.0630474611299205
7780,KIAA0196,0.9567548820636866,0.02080694359194079
10500,P2RX4,0.9566594244190464,0.0941391225301755
15752,TUBA3D---Cluster1,0.9565684708556296,0.012764256654913509
642,ANKRD2,0.9564177853171688,0.051252580126419305
5375,FCER1G,0.9559453806787174,0.01876565722689645
5700,FTMT,0.9554385219593152,0.06330065628606009
14031,SNW1,0.9554292270737748,0.017884660525839913
789,AQP12A,0.9552647059078784,0.07171055587653694
5038,F12---Cluster2,0.9548482987693908,0.037352963712718235
11064,PIGR---Cluster2,0.9548000872787672,0.020427741848334856
14617,TACR2,0.9543050525163538,0.027799847984415548
11695,PROM2,0.9541478168188482,0.030176649378092814
10975,PHC2---Cluster2,0.9540421258897542,0.013177812622576996
12336,RBP2,0.9540235401972116,0.02178935826472204
11133,PKDREJ---Cluster1,0.9536969436240762,0.0554466304668756
13856,SLFNL1---Cluster1,0.9534240046353832,0.020547173389263575
10131,NR1I2---Cluster2,0.9533533826101144,0.014307655732384982
9758,NCRNA00181,0.9533259955849964,0.09338399127927637
7049,HTRA3---Cluster2,0.9531732091698536,0.02964102920306385
9827,NDUFV1---Cluster1,0.9528793192977558,0.0381663442439881
10699,PCDHGA4---Cluster6,0.952837570823018,0.043759481713696036
3343,CMTM1,0.9527552975520148,0.020101891903460213
3118,CHIT1,0.9527102474372688,0.06862847844578426
3069,CGNL1---Cluster1,0.9521316503135214,0.0638768237858241
2000,C22orf30,0.9520397202012146,0.01832565698017773
12978,SART1,0.951769828148734,0.03516613344386543
3810,CWF19L2,0.9517193330078054,0.03313555444770782
15019,TLN2,0.951706362508746,0.037156536927970725
202,ACTL7A---Cluster1,0.951643229629786,0.025864972294726125
2979,CEACAM1---Cluster2,0.9513270906804792,0.04235944043742555
8105,LAG3---Cluster2,0.9512808585710568,0.02664616601059726
13291,SFRP5---Cluster2,0.9508640382248004,0.05997640681075706
12407,RENBP---Cluster1,0.9507822655407198,0.09296538848141576
2408,CAMSAP1,0.950644152339982,0.03489319015438465
15808,TXNDC3,0.9504283495635658,0.08809947266002803
2059,C3orf24---Cluster1,0.9499278719539156,0.0336144135123106
13478,SLAMF8---Cluster2,0.9498408992668008,0.028684812650515482
4788,EML3---Cluster2,0.9497465909682196,0.04566510309217002
16889,ZNF558---Cluster2,0.9496656302774312,0.03816629795912034
7112,IFI35---Cluster2,0.9494951311585454,0.011719922306308757
2485,CATSPER3---Cluster1,0.9493986468824992,0.028829264230246718
6260,GPR156---Cluster2,0.94938304281527,0.02777074518188456
4452,DSCR6---Cluster1,0.9492812359191516,0.02038855587547476
9625,MYOM1,0.9490101320783192,0.031932971185337694
3656,CRYGB,0.9489957872125859,0.023209889569851268
12013,PYGM---Cluster1,0.9487533263997312,0.026021042326123702
10715,PCMTD1,0.948666701125682,0.03400249244910629
10485,OXER1---Cluster1,0.9486181767222256,0.02417104240091718
1286,BCL10,0.9484418556915168,0.09863668979062266
11973,PTTG2,0.9483364438835205,0.011234787805668769
10607,PARD6A---Cluster3,0.9482496921679948,0.05901455391394937
3109,CHFR---Cluster7,0.9482420859773608,0.058113719202698526
12262,RB1---Cluster6,0.9480478670549848,0.038730736255009536
9921,NFRKB,0.9479910745811204,0.03537539326780044
16217,VPS72---Cluster1,0.947593885626918,0.013922218245544706
1520,BTNL9,0.9475378716492624,0.08503676168919877
15790,TUSC4---Cluster1,0.9474234751882642,0.043029203456320136
13783,SLC4A5,0.9472655369437848,0.037571272031803715
185,ACSM1,0.9472335997410306,0.022355287304158745
9061,MGMT---Cluster7,0.946494561396548,0.017750664678588598
7602,KCNAB3,0.946370295835704,0.03966123586411725
1052,ATP10A---Cluster3,0.9461996036847644,0.056910506253504335
2493,CAV3,0.9460607107103473,0.03637524126319038
16354,WFDC8,0.9459495246281884,0.05122078468995413
13058,SCOC---Cluster1,0.945906979196976,0.018300489832731567
14270,SRI,0.9457206782061109,0.046613567748201454
6950,HRG,0.9453511970080214,0.07473385484740397
8401,LOC55908---Cluster1,0.9453040595788579,0.08074073775593245
3340,CMBL---Cluster2,0.9451029367497767,0.04703136559822205
4596,EEF1D---Cluster1,0.9449325249860592,0.06631114088655808
13482,SLC10A1---Cluster2,0.9448421145279102,0.034253304800557105
344,ADRA1B---Cluster2,0.9448265020158104,0.09448870830477092
9618,MYOCD---Cluster1,0.9446332715894359,0.06385895733823065
11885,PTGES2,0.9445780991626126,0.06412211969375532
8640,MAB21L2,0.9444712828094292,0.025921977693719952
5834,GALNT6---Cluster1,0.9441760190332212,0.02614364818601713
15966,UGT1A10---Cluster1,0.9441459141054654,0.047580776071713834
1823,C19orf63---Cluster2,0.9441179499014885,0.030096889567559668
11085,PIK3R1---Cluster1,0.94407237175557,0.021275392588342244
6416,GRTP1---Cluster1,0.944039855740756,0.033772722376379835
562,ALX3---Cluster1,0.9440380045573978,0.04113135992205982
4340,DNAJC25,0.9439973228337072,0.021261575230459687
3692,CSNK1G2---Cluster1,0.9438842371376094,0.03542269560054041
6713,HIPK3---Cluster2,0.9438803714369329,0.04211486985033939
11693,PROM1---Cluster1,0.943766784719962,0.04795147848789217
1855,C1orf201---Cluster1,0.9437203466915626,0.012429562062093322
7696,KCNQ1---Cluster6,0.943668800343732,0.03679489944623622
6727,HIST1H1T---Cluster2,0.9434202235420904,0.020017621243542318
12117,RABEP1---Cluster1,0.943350346525762,0.029609828981641963
5040,F2---Cluster1,0.943201767114508,0.041522970844766964
621,ANGPTL7,0.9430352687771324,0.01892899638729309
5389,FCN3,0.9430106454983662,0.036377384928718295
4360,DNHD1---Cluster1,0.9428322851143468,0.04397707931417928
14428,STK36---Cluster1,0.9428318809185636,0.01349199505018982
9583,MYLK2---Cluster1,0.9427814698634096,0.02172071473183524
4025,DCTN1---Cluster2,0.9427764010634232,0.015678991770492184
1323,BDH1,0.9425340528692884,0.05824907448172389
13669,SLC2A7---Cluster1,0.9424233712861376,0.06010672425055006
1937,C20orf135---Cluster2,0.9421977470126466,0.029109853991015382
7719,KCNV2---Cluster1,0.9421873170431868,0.029125194396548405
11898,PTH1R---Cluster2,0.941979449919362,0.018395493762028942
10596,PAQR5,0.9419358625446664,0.05867401356389336
4567,ECM1,0.9419242932927828,0.0641450133900578
5243,FAM71C,0.941861206158958,0.09094096286976083
11765,PRSS38---Cluster2,0.9417303581433096,0.07331677703228921
13564,SLC22A18---Cluster3,0.9417230274827908,0.08172267383532833
3168,CHST12,0.9412791461290616,0.02141990853834239
716,AP3B2---Cluster2,0.9412742331068432,0.037145303464771004
7262,IL4,0.9411859764673864,0.037587613924644984
10921,PGA5,0.9411614804896148,0.0686916986352893
10137,NR2E3,0.9411466065530516,0.07442885646272564
4640,EGFL8---Cluster1,0.9408449604295356,0.021149615688895337
16932,ZNF623,0.9407281614986968,0.02866233839962832
749,APITD1---Cluster1,0.9405540057394024,0.053228956784537686
4347,DNAJC5G---Cluster1,0.9403160053572855,0.04334191201192087
11738,PRR4---Cluster1,0.9401526074892916,0.044719454369111664
14868,TFF1---Cluster1,0.9401521382242516,0.07030020080647746
10931,PGAP2---Cluster4,0.9401322571063956,0.05226765513474956
7505,ITPRIP,0.9401176677875906,0.0350637905271319
5800,GABRR2---Cluster1,0.9400517593292099,0.029326562509381208
1473,BRSK1,0.9400140252377588,0.046059312742468085
8575,LTB,0.9399138568631054,0.04357930313891825
8412,LOC91316---Cluster2,0.9398539512435372,0.03820991080208815
2072,C3orf45---Cluster1,0.9398532239712556,0.0295956545621596
16838,ZNF445---Cluster2,0.9395362781939376,0.053982935754559085
559,ALS2CR12,0.9392203059931308,0.038201486234441334
6098,GMCL1L,0.9391475440230388,0.05337619773919021
12478,RGS3---Cluster1,0.9391180704770486,0.027837926764717174
169,ACPT,0.9391072743438842,0.07127126058719979
5721,FUT6---Cluster2,0.9390268442868795,0.0551317298823682
1388,BLZF1---Cluster1,0.9390241664790128,0.04162392950632714
3760,CTRL---Cluster1,0.9387238749071519,0.021506842217981863
4641,EGFL8---Cluster2,0.9386871792915348,0.03558966632554348
4363,DNM1L---Cluster2,0.9386840714835932,0.046131627445418336
10854,PEG10---Cluster1,0.938460140594158,0.029389965924223882
3784,CTU1---Cluster2,0.9384260428550422,0.03170796571453385
11797,PSMA4---Cluster1,0.938239968107004,0.018140490703972983
14967,TIGD7---Cluster2,0.9380974115262484,0.013895103149711808
11220,PLEKHH2,0.9380240418256224,0.060251877846417286
4253,DLGAP1---Cluster2,0.9379610398110122,0.07406087495626787
14382,STAT4---Cluster2,0.9378725465661084,0.06537941115025415
9243,MORC1---Cluster1,0.93786803869893,0.08773583355313815
10496,P11,0.937515095839118,0.02424369011484088
10776,PDE6A,0.9373623897761753,0.01782430992113296
11382,POPDC2,0.9370264168231563,0.045648374602189457
3056,CETP,0.9368919138282532,0.06661802306643196
9282,MPPED2---Cluster1,0.9367667640706852,0.027990791076999776
2816,CD72---Cluster2,0.9366160291845606,0.05786211806532189
942,ART4---Cluster1,0.9364050259795046,0.028905947916818105
14420,STK31---Cluster1,0.9362139938739128,0.04550501685017089
8048,KRT71---Cluster1,0.9361632175911264,0.0589202805170562
6986,HSF2BP---Cluster2,0.9360984656060272,0.0543449037933363
11628,PRKAG3,0.9357764064385368,0.06608092043038613
16741,ZNF239,0.9357113326969532,0.03528649776827043
5513,FKBP5---Cluster2,0.9354374493844392,0.04616242650430622
11279,PNLIPRP2---Cluster1,0.9354261410266506,0.07403637208180426
16887,ZNF556,0.9354129040046838,0.05761335594981048
5476,FHIT---Cluster2,0.9352610044834572,0.024059704135547803
8583,LTBP4,0.9351817435315928,0.06017366474458985
15552,TRIM60,0.9351170488217292,0.02304329829001769
14500,SUGT1P1---Cluster2,0.9350284638332734,0.03669664827279328
12739,RPL3L,0.9349735445336456,0.050903042187313466
6519,H1FNT---Cluster1,0.9348551013881016,0.07336861794808712
12281,RBM14---Cluster1,0.934729880239792,0.017451658437151206
1036,ATG7,0.9346438316054888,0.044385670007175984
15053,TM9SF4---Cluster2,0.9345213902047868,0.021530162448775984
938,ARSG,0.9344425607059024,0.02673895490474804
3480,COMMD9,0.9344405476339412,0.02707489173553233
7321,INHBC---Cluster1,0.9343911838174972,0.04345637777364751
11694,PROM1---Cluster2,0.9343704817310008,0.022077802729564392
7197,IL10,0.9343012550019052,0.04445389838786309
6423,GSDMB---Cluster2,0.9341438974805878,0.041449506525921415
16669,ZMYND17,0.9337084432796758,0.022475097413541527
6628,HEATR4---Cluster1,0.9335966325050509,0.021629354637384808
1545,C10orf12,0.9333537458874136,0.02023069411959211
14407,STK11---Cluster1,0.9330523693333648,0.035529101640540565
10261,NUP188---Cluster2,0.9329921454636236,0.026721419703220048
240,ADAD2---Cluster1,0.9328161611890764,0.052671713769369584
6688,HIATL1---Cluster1,0.9326848308176704,0.03669400079673429
10781,PDE7B---Cluster1,0.93265404812289,0.0447619030418506
10751,PDCD6---Cluster2,0.9326223172835147,0.08593087090122427
5090,FAM10A4---Cluster2,0.9324622010481596,0.03327979777422412
11720,PRPH2,0.9324334653894584,0.05051662815639827
15621,TSC2---Cluster1,0.9324014371045056,0.05087983709296082
1368,BIN2---Cluster1,0.9323799988843492,0.03969620080415203
10149,NRAP,0.9323346155962278,0.05438768818916101
1945,C20orf173,0.9322746709094656,0.041947721709983024
6233,GPNMB---Cluster2,0.932264230939502,0.025504750781516816
13479,SLAMF9,0.9322147000377828,0.04455106491279448
1376,BLCAP---Cluster3,0.9320605241959612,0.02919467319503039
4307,DNAH17---Cluster1,0.9320452025754346,0.09015635299622546
16175,VN1R1,0.9320272119187114,0.058813322362299435
8773,MAPK4---Cluster1,0.931931050469037,0.13452139972991758
13363,SH3BP1---Cluster2,0.9318165423168208,0.047928647373739135
5501,FIZ1---Cluster2,0.9316392358597676,0.12159199649373573
13426,SIL1---Cluster1,0.931566893101342,0.017479294400528117
3285,CLEC9A,0.9315463775875378,0.06431749565669087
1705,C15orf43,0.931507506307536,0.0582360781015944
9058,MGMT---Cluster4,0.9314996683864596,0.029710820935976226
12367,RDBP---Cluster1,0.931398588984816,0.02004010682695032
13597,SLC25A18,0.9313925193245326,0.04575435637261314
12397,RELB---Cluster2,0.931279478381244,0.05240450495961374
13556,SLC22A1,0.9311459748910352,0.033628709236002995
7352,INSL5---Cluster2,0.9310730774650884,0.030872677867708875
10780,PDE6H---Cluster2,0.9309481245568728,0.03912347933226583
3648,CRYBA1---Cluster1,0.9306683495615372,0.03205126126208384
182,ACSL5,0.9304985575851557,0.04038329827397711
7214,IL17F,0.9303645625488484,0.03828192919350962
14817,TEKT5,0.9302273104318456,0.10133373842355058
9179,MLXIP---Cluster1,0.930195469363728,0.0390562084100561
10465,OTUD4---Cluster1,0.9300542370896488,0.02639567539746527
3302,CLK3---Cluster1,0.9298820646886587,0.032091939255043334
3969,DAZL,0.9297637196242414,0.02194849720015422
1510,BTN1A1---Cluster2,0.9297523276502322,0.024712080273301924
7447,ITGA2B---Cluster1,0.92969625554809,0.023343804491347684
9209,MMP8,0.9295725016609604,0.045771513164346016
1374,BLCAP---Cluster1,0.9295450417326452,0.09293997141988906
15601,TRPM1---Cluster1,0.9294860509168942,0.02615315524427736
14461,STS,0.929387249330346,0.06653822011690026
2546,CCDC114---Cluster1,0.9292901232208316,0.02155642489404195
15256,TMEM86B,0.9292829668920513,0.05884430004460418
525,ALG12,0.9292253188235706,0.08030141988222479
10090,NPFF---Cluster1,0.929174731215228,0.03856685894121435
5511,FKBP4,0.9290621164210736,0.09475395122908824
9055,MGMT---Cluster1,0.9290017187873728,0.02998059347235048
7055,HYAL1,0.9287632287644452,0.02354425235796049
5816,GAL3ST4---Cluster1,0.9284877694454516,0.031152290711917007
2388,CALML5---Cluster1,0.9284715170195084,0.060936875114355235
5473,FGR,0.928394561242714,0.038462046041279785
7575,KATNA1,0.9283686934933068,0.0261619700119508
10467,OTUD6A---Cluster1,0.928364755756194,0.05303450410181775
8173,LCK---Cluster2,0.928356590658442,0.06793672570855214
8094,L1TD1,0.9282795268731759,0.0390523553540552
5209,FAM47B,0.9281621257933214,0.04388545919822202
2267,C9orf24,0.9279712773372356,0.0420721995871759
15783,TULP1---Cluster1,0.92788632529494,0.061002646698059826
10029,NNAT,0.9278107048064173,0.06750740107849776
8037,KRT35,0.9277856866113208,0.06347721573877077
3160,CHRNA9---Cluster2,0.9276939259573608,0.036457633565988135
1375,BLCAP---Cluster2,0.9275984377708186,0.030216913955688155
6545,HAL---Cluster1,0.927137026888611,0.0408544908038607
1113,ATP6V1B1,0.9270585025716568,0.031002564223961363
1009,ASZ1---Cluster1,0.9270459072533771,0.06498543999027019
3873,CYFIP2---Cluster1,0.9270307791748148,0.04545472262304609
7823,KIAA1409---Cluster2,0.926957548001358,0.09253612843016296
13896,SMARCAL1---Cluster1,0.9269554362181632,0.06253918508413261
6301,GPR61---Cluster1,0.9269044213058302,0.05342049212291701
8612,LYPD4---Cluster2,0.9267956818215234,0.11913576491011407
14452,STRA8---Cluster2,0.9267830455639304,0.05334510656108025
5835,GALNT6---Cluster2,0.9267548597139208,0.015050188993286088
12880,RTP3---Cluster2,0.9266759269046227,0.10631135229084396
16453,XYLB---Cluster2,0.9265631077669584,0.05575042382559189
2042,C2orf61,0.9265390125805296,0.08551217340646862
16583,ZDHHC4---Cluster1,0.9265258666320046,0.056463939625152386
7480,ITIH1,0.9258896627795904,0.028518494756510724
13189,SEPT5---Cluster2,0.9258237156146482,0.06933702457968689
8015,KRT13,0.9257516442126744,0.04093486297267918
5850,GANC,0.9256554520396658,0.02863232705586263
13219,SERPINA5---Cluster2,0.9256265708563448,0.046526830457930414
6867,HORMAD1,0.925495736853631,0.06454101394514786
16388,WNT5B,0.9254424604643946,0.041866455872663084
1390,BLZF1---Cluster3,0.9254418021072418,0.029588337660811724
6044,GLDN,0.9253727287743592,0.04847166600504794
462,AKAP3,0.9252763005289876,0.07944128431039761
11405,POU5F1---Cluster2,0.925237500194145,0.04930405625788658
482,AKR7L---Cluster2,0.9252340224440044,0.07630006050542144
9506,MUC13,0.9249553546949816,0.04570233903154956
7970,KLK14,0.9249450176666182,0.044296189613398096
6987,HSF2BP---Cluster3,0.9249324291439917,0.04735269286864593
2443,CARD14,0.9248540434798932,0.047472323897269714
3761,CTRL---Cluster2,0.9247372960553868,0.0599335275117631
3654,CRYGA---Cluster1,0.924611865656808,0.048178606765820586
15801,TXK---Cluster1,0.9246008009691891,0.03827050430044482
5930,GDF11---Cluster1,0.9245212287336866,0.04553651811303981
16009,UOX,0.9242670559665828,0.06278791194082607
11739,PRR4---Cluster2,0.9241957766856344,0.042800203986781804
11518,PPP2R2A---Cluster2,0.9240627432711364,0.022753611580447638
2066,C3orf36,0.9238135748811548,0.050512152558935416
10648,PBRM1,0.9236836202255244,0.028601320888001575
2031,C2orf48,0.923561699326346,0.048258796643827685
6203,GP9---Cluster2,0.9234716614684402,0.027683680453177924
2995,CECR1,0.9234156741956624,0.1126506008815936
11607,PRH1,0.9233967304206372,0.0434358188068586
2722,CCR4,0.9233271241240888,0.021354782284905845
4367,DNMBP---Cluster1,0.9232537210979178,0.062022601266919886
13481,SLC10A1---Cluster1,0.9232512289625612,0.0368233672864561
11582,PRDM2---Cluster1,0.9232451523928644,0.04231594471563108
383,AGER---Cluster2,0.923036653396298,0.019899243112208947
14808,TECTA,0.9230348772695782,0.04537563561131017
3029,CENPP,0.9229189456589524,0.033367909042476274
9595,MYO18B---Cluster1,0.9228399962343592,0.07431502695404191
18,AARS---Cluster2,0.922812658395404,0.04265589719514591
3647,CRYAA---Cluster2,0.9227069925010672,0.05595722911209821
5198,FAM38A,0.9226668820555248,0.14747760166405285
1865,C1orf226,0.9226435178559868,0.06238824153201596
13679,SLC30A4---Cluster2,0.9225691586854994,0.03929904520062759
16690,ZNF146,0.9223092063895832,0.05525366636341546
2999,CEL---Cluster2,0.9222665209609168,0.07178982805134616
1020,ATF3,0.92213486464616,0.08710534536789162
16630,ZFYVE19---Cluster1,0.9221239506102448,0.04148885526910077
1691,C14orf68---Cluster1,0.9221063760089968,0.046325779422103086
14239,SPTBN1,0.9219587327280636,0.04902060874522965
5498,FITM1---Cluster1,0.9219259517205186,0.026573934540793143
9576,MYL3,0.9217743293771524,0.07539716779398441
6425,GSG1---Cluster1,0.9217126418184932,0.045347091432932085
10855,PEG10---Cluster2,0.9216901050941896,0.02377213395494641
785,AQP1---Cluster1,0.9212435251292059,0.0471439454082332
16111,VANGL1---Cluster2,0.9208713639177089,0.030280020225309536
1938,C20orf141,0.9208680672346496,0.033952226241256794
10349,OLFML2A,0.9208654244592436,0.040189403500265966
16424,XIRP1,0.9208199933971124,0.05320923833709672
1554,C10orf27---Cluster1,0.9206117474114541,0.04177626706522269
10324,ODF1,0.9205629345684964,0.02250196860882575
12801,RPS6KL1---Cluster1,0.9204471072152972,0.06325269933188317
3249,CLDN15---Cluster1,0.9204239591411234,0.09141934338446092
12030,QPRT,0.9199412290288352,0.04556893370597686
14904,TGM1,0.919839705828851,0.0726645596707386
6752,HIST1H3E,0.9196998852530446,0.15068780488801745
1675,C14orf148,0.919636871679032,0.037086476125209496
13146,SEMA3G,0.9195895686129326,0.05161098492927324
15364,TNNC2---Cluster1,0.9195664957792228,0.0361763268097407
2202,C7orf34,0.9195473761545734,0.04072357937872303
8038,KRT36,0.9194235963609474,0.0640002612988323
2745,CD160---Cluster1,0.9193362218663058,0.08115693485961559
11552,PPY---Cluster1,0.9193249425160154,0.03807184306248553
15745,TTR,0.919196448939914,0.07114420396026037
9540,MYBPC3---Cluster1,0.9190630162580524,0.0444714955854134
3150,CHRM4,0.9189580000430988,0.024545499713128208
2116,C5orf13---Cluster2,0.9189326787716438,0.02677092274512085
1074,ATP2A1,0.9188368712949448,0.04443476195017058
6710,HIPK2---Cluster1,0.9185855858862108,0.03774428503456281
