['COPS7A' 0.00016314578749334122]
['SLC25A45' 0.00016301389314229246]
['TRIM35' 0.000162962069275946]
['SPATA12' 0.0001628308276768075]
['TMEM163' 0.00016278056224224732]
['HIAT1' 0.00016272799227012361]
['MMP15' 0.00016242111497839206]
['PSAT1' 0.00016215485878952104]
['VPS45' 0.00016208659686999666]
['GLT8D2' 0.0001618377786332577]
['CXCL13' 0.00016176010954761455]
['MRLC2' 0.0001614764405427799]
['ZBTB2' 0.000161455341095725]
['LYPLA3' 0.00016139677529576757]
['IL7R' 0.00016137475223811914]
['FLJ20160' 0.00016096062732473486]
['WDR40A' 0.00016093852538017755]
['C18orf8' 0.00016091031268655552]
['PCDHGA8' 0.0001607981823861024]
['CROT' 0.00016056487662633722]
['TXNIP' 0.0001599898705487098]
['MLLT11' 0.00015939337914578727]
['PALB2' 0.00015937109553889315]
['C8orf45' 0.00015929910638345823]
['CCND2' 0.00015924486892062242]
['FBXO22' 0.00015903851206353192]
['DAPK2' 0.00015898989256377065]
['FLJ33360' 0.00015897480444223614]
['PIM1' 0.00015887071653712683]
['C9orf43' 0.00015853285712459604]
['BAK1' 0.00015844369584848815]
['ADAMTSL3' 0.00015843396674402688]
['HIVEP1' 0.0001582878164209423]
['PRRG3' 0.00015826762212008783]
['C1orf151' 0.00015821978948376775]
['PRR10' 0.00015820136695663265]
['LOC161247' 0.00015819855913013286]
['PLAUR' 0.00015817533008503446]
['PDE4B' 0.000158175131074396]
['SLC25A37' 0.0001578098242797395]
['TUBB' 0.00015775235091439234]
['DENND4C' 0.0001574815931641621]
['OSTF1' 0.00015719935286513176]
['CSTF3' 0.00015688206563189904]
['SPINK6' 0.00015684521515954724]
['C6orf168' 0.00015680447328428614]
['C2orf40' 0.00015673737804607364]
['C18orf25' 0.00015623048192392323]
['ETV3' 0.0001561978381005461]
['KCNJ16' 0.0001558997811240448]
['TNRC5' 0.00015589613799687593]
['SNAI2' 0.00015569722642576442]
['PIK3AP1' 0.00015551340208470288]
['LOC441054' 0.00015547196072697607]
['LOC653314' 0.00015536847130459447]
['DENND2C' 0.00015507380971923083]
['C15orf5' 0.00015500051480422526]
['KLF13' 0.00015491032736068936]
['PCDHB1' 0.00015483572037277313]
['ZFAND6' 0.00015461742856849036]
['LOXL2' 0.00015416626807143692]
['FLJ43806' 0.00015396034791587533]
['CSDE1' 0.00015393747420981325]
['HEATR3' 0.00015375620087797857]
['PEX1' 0.00015368567557973628]
['IBSP' 0.00015367631808605475]
['IRAK3' 0.00015356575442814873]
['COL3A1' 0.0001534526395531013]
['ING5' 0.00015343577975411807]
['PCDHGC3' 0.0001533311813917455]
['TMEM100' 0.00015329707167764778]
['RHOJ' 0.0001531849557436835]
['ALX1' 0.00015317199679639186]
['GUCY1A3' 0.00015310395164539793]
['UBL3' 0.0001525835107416649]
['MRPL41' 0.000152579039799425]
['CMKLR1' 0.0001522968541529557]
['NDFIP2' 0.00015212205165234964]
['LOC440295' 0.00015191809918301485]
['OR2T8' 0.0001517148816967421]
['KIAA1377' 0.00015154000623083277]
['ITFG1' 0.00015147195441493657]
['DSCR10' 0.00015108308578691174]
['EXOC5' 0.00015102913014826598]
['RAB3D' 0.00015100425462280225]
['SPIRE1' 0.00015050313629790663]
['URM1' 0.00015043156670242253]
['CMYA5' 0.00015037909643409166]
['STOML2' 0.0001503583053146739]
['HSD17B13' 0.00015023727296655187]
['EHMT1' 0.00015020391391627286]
['FAM46D' 0.00015007986559232596]
['ACADSB' 0.00015006372656862813]
['ZBTB24' 0.0001494504759150451]
['NIP30' 0.00014936949412370812]
['SOCS5' 0.000149368446579561]
['USP14' 0.0001493640084953708]
['PLEKHC1' 0.0001493444405358586]
['DAPK3' 0.00014890461175551172]
['COG4' 0.00014882295913454637]
['LEPROT' 0.000148713984614647]
['RASSF8' 0.0001486482516458021]
['ASPH' 0.00014864035976168064]
['CYCS' 0.00014838376039073256]
['TOPBP1' 0.0001481280109625935]
['AEBP1' 0.00014811736248170846]
['OR51L1' 0.00014806077139229668]
['WISP1' 0.00014803560727423383]
['STXBP3' 0.00014796983208105062]
['ZNF498' 0.00014787492149926748]
['PRKCA' 0.00014753945343419378]
['ARPC3' 0.00014750876262403843]
['DPH2' 0.00014743290157933083]
['SETMAR' 0.00014731867801001525]
['THOC2' 0.00014721423881647672]
['PGCP' 0.00014692398720133102]
['SESN1' 0.00014683312950446146]
['CCL18' 0.0001467379530178235]
['GNA15' 0.0001466769740345567]
['FUT1' 0.0001464912730024952]
['BAZ1B' 0.00014641338202487988]
['OSBP' 0.000146176929008007]
['NUDT16' 0.00014605278491194507]
['C20orf39' 0.0001460343913489533]
['SYT11' 0.00014592275796859486]
['WDR51B' 0.00014579044901888717]
['TCTN2' 0.00014578795129247202]
['CAMSAP1' 0.00014574799180120277]
['TEK' 0.00014561367801258613]
['POLR2D' 0.00014555275877823536]
['PIB5PA' 0.00014538057612284907]
['BNC2' 0.00014525193970162337]
['HOXB13' 0.00014522831958274814]
['JAM3' 0.0001451694517646508]
['MKNK1' 0.00014491367286177724]
['VCL' 0.00014490420965027414]
['RBM16' 0.0001448277578185924]
['RHOF' 0.00014474444551350183]
['KBTBD6' 0.00014448901947715983]
['PGDS' 0.00014443709297727028]
['COL4A2' 0.00014427490161549397]
['TDRD7' 0.0001437371480994045]
['RSBN1' 0.00014370986613639438]
['ZNF642' 0.00014370114884186322]
['FDX1' 0.0001435399304191844]
['ASB5' 0.00014325420389522402]
['STAMBPL1' 0.00014323111720944667]
['CNBP' 0.00014311030328605103]
['RFC4' 0.0001428294936106988]
['RAI1' 0.00014270608278082385]
['LOC57228' 0.00014268330130399144]
['SQSTM1' 0.00014253780766591191]
['GPR37' 0.00014238442937211253]
['OR5AS1' 0.00014234645166110927]
['RAP1GAP' 0.00014220205438307264]
['RALGPS1' 0.00014219746526909148]
['LRRFIP1' 0.00014219725866345502]
['FOS' 0.0001421363650226044]
['TAS2R60' 0.0001421300811311089]
['ABTB2' 0.00014183602977355583]
['CD200R1' 0.0001417631611080675]
['C1orf190' 0.00014172512421831073]
['FAM137B' 0.00014152817892993427]
