['Treatment' 0.047790195664771024]
['ASXL3' 5.074287018373456e-06]
['C4orf36' 5.066648934464882e-06]
['PTPRA' 5.063899833356698e-06]
['FAM43A' 5.060836712441087e-06]
['HLA-DMA' 5.049726122623512e-06]
['TRAF3IP2' 5.030902847943626e-06]
['HARS' 5.0305951545203905e-06]
['CHMP1A' 5.017323397371614e-06]
['CLCN2' 5.006751609856237e-06]
['ADCK2' 4.9973528810045234e-06]
['EPB41L1' 4.9917313789177866e-06]
['E2F2' 4.9907735213886845e-06]
['MYST1' 4.987482544864003e-06]
['C5orf35' 4.965785971522209e-06]
['NDUFV2' 4.96444376787725e-06]
['GPR123' 4.9618196555468745e-06]
['UBXD1' 4.961179179125309e-06]
['RARRES1' 4.9591852042287235e-06]
['PTP4A3' 4.947876693839343e-06]
['C20orf134' 4.9444433702443834e-06]
['SEC61B' 4.935845050047494e-06]
['YPEL4' 4.931778092226636e-06]
['PRRC1' 4.926987637247841e-06]
['MTBP' 4.921888817975409e-06]
['TFB1M' 4.920368149347519e-06]
['SLC39A9' 4.911031977462579e-06]
['KLHL22' 4.906223604187995e-06]
['G3BP2' 4.897999736016643e-06]
['KIDINS220' 4.884508343168556e-06]
['THTPA' 4.877087116723303e-06]
['LIX1L' 4.8752389303840506e-06]
['SAFB2' 4.873788755438082e-06]
['LHX2' 4.867422996226552e-06]
['MARCH2' 4.864107991646943e-06]
['OPN3' 4.856432696209316e-06]
['RGS10' 4.855769081455647e-06]
['ZNF484' 4.837209861086871e-06]
['ZNF580' 4.822587009123581e-06]
['C21orf7' 4.796571170067236e-06]
['C8orf73' 4.794664555392743e-06]
['RPUSD1' 4.784428831482859e-06]
['FLYWCH2' 4.77510121596164e-06]
['MIR16' 4.7714886810776804e-06]
['PQLC3' 4.760293367436547e-06]
['C20orf196' 4.747510698825913e-06]
['LARP4' 4.745891236086944e-06]
['GRID1' 4.743857652305367e-06]
['LOC654346' 4.731629461905938e-06]
['RPS3A' 4.721389664379389e-06]
['COMMD2' 4.71466267189994e-06]
['FLJ45557' 4.712268754775166e-06]
['OR4K17' 4.6970050242818355e-06]
['JHDM1D' 4.68916595851219e-06]
['C1orf151' 4.665971561413935e-06]
['HRASLS3' 4.650924832894316e-06]
['CYP4F22' 4.649019226388131e-06]
['STMN4' 4.639857945240438e-06]
['SHQ1' 4.638806410611789e-06]
['ZMAT4' 4.637762501245787e-06]
['GCLC' 4.634704412184021e-06]
['ADCK5' 4.629774847170447e-06]
['COX19' 4.621523056766235e-06]
['PLD2' 4.608939148434863e-06]
['CC2D1B' 4.589180832791721e-06]
['SNAP23' 4.5884519781042505e-06]
['TFCP2L1' 4.5793995118459345e-06]
['ABLIM3' 4.573080804544897e-06]
['AFG3L2' 4.562434834984667e-06]
['AHNAK' 4.557979188977345e-06]
['EFNB3' 4.554740261862727e-06]
['TMPRSS12' 4.551949974100829e-06]
['MARCKSL1' 4.551824618119872e-06]
['SLC30A2' 4.551111829083134e-06]
['PHF14' 4.548859100513701e-06]
['SURF2' 4.547476169021331e-06]
['TMEM146' 4.54072588969445e-06]
['ERCC3' 4.522189324612625e-06]
['ANKRD25' 4.5174722324350975e-06]
['FOXD2' 4.5086789676564964e-06]
['SLFNL1' 4.493417859505299e-06]
['C17orf78' 4.492446558809378e-06]
['GRM6' 4.4751434581297236e-06]
['MKX' 4.473967079706758e-06]
['PDCD6IP' 4.469414706710943e-06]
['PRSSL1' 4.464225860036607e-06]
['SLC44A1' 4.4631105881160015e-06]
['CDKN1B' 4.460076533780544e-06]
['ARL4A' 4.456722658975977e-06]
['NEK6' 4.4446192954986966e-06]
['FXR2' 4.4418325682461266e-06]
['AGXT2' 4.441108847296931e-06]
['ME3' 4.440528618817075e-06]
['FHIT' 4.432496869508029e-06]
['MCM2' 4.421321968807905e-06]
['MRPS18B' 4.420900231602291e-06]
['ICMT' 4.417678264215665e-06]
['OR11G2' 4.417178668244949e-06]
['DYDC2' 4.415298250265643e-06]
['HLA-DRA' 4.414808465913506e-06]
['UBR1' 4.394846197941463e-06]
['PTEN' 4.393335695471193e-06]
['MAGEA3' 4.389736653971088e-06]
['BHLHB5' 4.383508984790359e-06]
['OR52B2' 4.376886635210525e-06]
['SNAPC2' 4.360550650057734e-06]
['TNPO3' 4.359996100697228e-06]
['ASTE1' 4.351411694014585e-06]
['SIGLEC9' 4.346700527838326e-06]
['LSAMP' 4.344649080934982e-06]
['C2orf50' 4.343563256426578e-06]
['DEFB103A' 4.3203579812291115e-06]
['RNMT' 4.318245448321264e-06]
['ATAD4' 4.317033944964819e-06]
['NLRP9' 4.3126522577407e-06]
['MGC10814' 4.312445474744647e-06]
['DSC1' 4.31129274590864e-06]
['RBM12' 4.301559356268609e-06]
['G6PC2' 4.299011923864631e-06]
['CARHSP1' 4.298393632467252e-06]
['ZHX1' 4.290708348842435e-06]
['TNKS1BP1' 4.282237655866543e-06]
['LOC137886' 4.272127690756105e-06]
['PHOSPHO1' 4.26046752253273e-06]
['SMNDC1' 4.2562416123748195e-06]
['DPYS' 4.2460071755216156e-06]
['B4GALT6' 4.243837900099128e-06]
['EBI2' 4.241358815727272e-06]
['BRSK1' 4.239377735007898e-06]
['TRIAP1' 4.232344872627877e-06]
['ISLR' 4.216419306070435e-06]
['FAM71A' 4.206809801559385e-06]
['UBQLN1' 4.203873548103006e-06]
['TMEM50A' 4.2026427486210436e-06]
['PNLIPRP2' 4.197337661284062e-06]
['DDX46' 4.192941787555349e-06]
['FLJ35773' 4.188185783886029e-06]
['WDR61' 4.185356653085914e-06]
['ZBTB38' 4.185241297257893e-06]
['NRXN3' 4.179454974585173e-06]
['PRPS1' 4.176280531834273e-06]
['C10orf91' 4.175970112140246e-06]
['LOC81691' 4.168125372856241e-06]
['CXorf52' 4.16496657914391e-06]
['MRPL28' 4.159867270919785e-06]
['ZNF264' 4.154827037569999e-06]
['ASCC3' 4.141576365449364e-06]
['CUL2' 4.139573351967342e-06]
['FOXD1' 4.137822189303981e-06]
['ERC2' 4.134367018584567e-06]
['ALDOC' 4.131228696313499e-06]
['IFI27' 4.1280315975733645e-06]
['MLL4' 4.125871477793905e-06]
['GMNN' 4.124255310913728e-06]
['ANKRD37' 4.123155858280081e-06]
['PPBP' 4.121332088140653e-06]
['C3orf30' 4.112987693275098e-06]
['RPS14' 4.111079801020555e-06]
['TESSP2' 4.109292281790107e-06]
['GPR78' 4.1013585671944165e-06]
['ERICH1' 4.101297640281404e-06]
['NR1D1' 4.095512940833983e-06]
['NAT8' 4.091693462144084e-06]
['PPM1B' 4.087295100426588e-06]
['AGBL5' 4.072836123237967e-06]
['GPAA1' 4.065904134542438e-06]
['NKX6-2' 4.0605155022891525e-06]
['IGFBP3' 4.05628886207602e-06]
['PUF60' 4.055880411071265e-06]
['POLR1C' 4.050773418157686e-06]
['CDC6' 4.0483178787017385e-06]
['C12orf59' 4.033500730838977e-06]
['NAPA' 4.032320103256579e-06]
['ADRB1' 4.027259392190511e-06]
['TMEM184B' 4.026589679883775e-06]
['UNQ9391' 3.998374822976344e-06]
['NIPSNAP3B' 3.9934515134194776e-06]
['IL17RE' 3.991602389967128e-06]
['SLC16A1' 3.989236955885804e-06]
['MAGEA10' 3.988747782528605e-06]
['FLJ31568' 3.986562119002242e-06]
['MAGEB6' 3.978941788085865e-06]
['HNRNPR' 3.972379872173737e-06]
['SCAMP3' 3.96317711357274e-06]
['ZNF689' 3.962562899567441e-06]
['RAB25' 3.9620992763183184e-06]
['VPS24' 3.9581822410020514e-06]
['ZNF425' 3.955937123090428e-06]
['ASAM' 3.9505672375669695e-06]
['LTBP4' 3.942671083662259e-06]
['HNRPH1' 3.936661167857346e-06]
['C10orf122' 3.936192000457132e-06]
['CDKN2D' 3.927745296963158e-06]
['ZNHIT2' 3.9248970249503884e-06]
['COL3A1' 3.913996186896685e-06]
['SLC16A13' 3.910056191468151e-06]
['KCND1' 3.908519918908234e-06]
['DNM1L' 3.906001255399369e-06]
['DHCR7' 3.905057211355473e-06]
['FBXL17' 3.901884049021884e-06]
['REPIN1' 3.896323968772568e-06]
['GDAP1' 3.893775823796868e-06]
['NEK4' 3.883059701393613e-06]
['MMP25' 3.881765435494385e-06]
['SNRPD2' 3.876358240010512e-06]
['LRRTM1' 3.8740942542311235e-06]
['MAP2K7' 3.8706728966304195e-06]
['C8orf58' 3.869602163832022e-06]
['HOXA13' 3.862296748330842e-06]
['SDF2' 3.860816381046743e-06]
['ITGA10' 3.851936714721841e-06]
['C1orf176' 3.846781655893471e-06]
['TMCC2' 3.817099782612791e-06]
['HUWE1' 3.816958495663199e-06]
['DNM2' 3.8054957785359613e-06]
['DGAT2' 3.7949622131602833e-06]
['CTSC' 3.7933291503030564e-06]
['RPL8' 3.79248392714579e-06]
['PSMB2' 3.7905637113735487e-06]
['ZNF124' 3.788348622691742e-06]
['UCHL1' 3.7806590523688216e-06]
['AFAP1L1' 3.778572613571849e-06]
['SLC10A3' 3.7783215266938494e-06]
['KIAA1033' 3.7717800888811686e-06]
['MRPS34' 3.7641990233955596e-06]
['ITGA7' 3.7636894835144803e-06]
['ZNF256' 3.762748884498002e-06]
['PHC3' 3.754922654048693e-06]
['CCDC109B' 3.7545182956940704e-06]
['SPIRE2' 3.753051134746482e-06]
['C19orf7' 3.744824608409779e-06]
['LPHN2' 3.7438440807990586e-06]
['LANCL2' 3.7427940546568997e-06]
['LCT' 3.7375458219995026e-06]
['SELPLG' 3.737237838290299e-06]
['C10orf68' 3.7328240312100194e-06]
['RAB27B' 3.732268995143708e-06]
['FAM123C' 3.7288047495571083e-06]
['BMP2' 3.723098670814085e-06]
['APAF1' 3.7219047958735023e-06]
['C17orf67' 3.720754982500144e-06]
['S100A11' 3.714351130313724e-06]
['GNG12' 3.708121303643185e-06]
['F3' 3.7053952427620353e-06]
['ATP5J2' 3.7050071502334817e-06]
['NOXA1' 3.6948089241048156e-06]
['C9orf126' 3.689788705765855e-06]
['C10orf79' 3.688588902934708e-06]
['CFDP1' 3.683884266857084e-06]
['MAP4K3' 3.6699642433621024e-06]
['NR2C2' 3.6694893703120164e-06]
['PNKP' 3.6685249661173537e-06]
['RASGRP3' 3.668456120042427e-06]
['HLA-G' 3.664620112266464e-06]
['C5orf32' 3.662404641045804e-06]
['ARPC5' 3.654962283582369e-06]
['DAO' 3.645255747814147e-06]
['RB1CC1' 3.641287107503457e-06]
['TMEM38B' 3.6388204327379925e-06]
['HIST2H2AC' 3.6360075507760296e-06]
['EML5' 3.632766582449801e-06]
['KRTAP3-3' 3.632348858536698e-06]
['CCDC44' 3.6256739666971887e-06]
['SMYD2' 3.6250896519636208e-06]
['CXorf56' 3.6126054744110233e-06]
['NUP188' 3.607817041167936e-06]
['C9orf93' 3.6013879072617736e-06]
['RFX3' 3.599743237798435e-06]
['H3F3B' 3.5949846060068793e-06]
['C19orf36' 3.5932070996811367e-06]
['LOC152485' 3.588855367235975e-06]
['NETO1' 3.5805882561749706e-06]
['GPATCH8' 3.5755358749369267e-06]
['BTBD14A' 3.571054277118751e-06]
['PCCA' 3.567071647105422e-06]
['A4GNT' 3.566380490681424e-06]
['ZNF281' 3.5650874751721916e-06]
['KIAA1545' 3.564303862040063e-06]
['EDG3' 3.563945184079221e-06]
['RGS7BP' 3.56327767115912e-06]
['ZNF813' 3.559717064191278e-06]
['CCAR1' 3.5581875622570597e-06]
['DHDH' 3.5577488040601277e-06]
['KIAA1191' 3.5577016911664904e-06]
['UBL3' 3.554510798189638e-06]
['PRR12' 3.5515219235419704e-06]
['RNF31' 3.5476115220308763e-06]
['IGF2BP2' 3.5464666960323695e-06]
['ADH7' 3.5390397024217976e-06]
['RPL4' 3.532704875838883e-06]
['KNDC1' 3.5305988559931384e-06]
['RAD18' 3.52563889753926e-06]
['LHX4' 3.514832778102378e-06]
['COX5A' 3.5138865093634347e-06]
['SLC7A14' 3.5042441187144956e-06]
['CCDC126' 3.500496334069693e-06]
['TAS2R3' 3.5000289075837665e-06]
['KEAP1' 3.4968577224568215e-06]
['IQCD' 3.4944543667032576e-06]
['ACE2' 3.4907788948464506e-06]
['DAPP1' 3.4892205049127473e-06]
['SLC9A3R1' 3.4845095069116326e-06]
['METRN' 3.4812495693327374e-06]
['CNDP1' 3.4673723060919494e-06]
['LATS2' 3.459080054782599e-06]
['NUCB1' 3.457940750467419e-06]
['FLYWCH1' 3.4560470730784035e-06]
['PPP1R3B' 3.4533896626387626e-06]
['CD55' 3.442545164030094e-06]
['ENPP6' 3.4421949616551614e-06]
['HSD11B2' 3.434747068585895e-06]
['KIAA0423' 3.433829897284369e-06]
['ALDOAP2' 3.427046556735317e-06]
['ATE1' 3.4179963517488243e-06]
['UPK3A' 3.4167719796881797e-06]
['DISP1' 3.405914291102209e-06]
['C8orf44' 3.3963034394132583e-06]
['EXDL1' 3.3930679838184127e-06]
['GLRX5' 3.39111540837581e-06]
['IFIT1' 3.3892819276001314e-06]
['UBE2J2' 3.387377019122622e-06]
['NTN4' 3.3839762414101196e-06]
['EMX2OS' 3.3804915642727454e-06]
['PEG10' 3.376999174922725e-06]
['OIP5' 3.366583066530327e-06]
['DHX29' 3.3616971680125537e-06]
['MPP6' 3.360104544269864e-06]
['CA11' 3.355999861188676e-06]
['TMEM176B' 3.354424964465554e-06]
['MGC21881' 3.349975786529376e-06]
['IL3' 3.342699150066967e-06]
['APOL1' 3.335294224269249e-06]
['CENTD1' 3.3348939971186644e-06]
['ATG2A' 3.334872562204278e-06]
['TGFBR2' 3.333636783519308e-06]
['JAK3' 3.330470874343089e-06]
['B3GALT4' 3.3301499837266935e-06]
['AP1S3' 3.32553043997916e-06]
['ATAD3A' 3.3221570349155744e-06]
['COPA' 3.319506284535008e-06]
['MPDZ' 3.31190298066122e-06]
['REEP5' 3.3102577514431283e-06]
['POU2F3' 3.308725254544603e-06]
['C6orf126' 3.3074216285049854e-06]
['S100A7A' 3.306203226828539e-06]
['DPP8' 3.298501797698978e-06]
['POLN' 3.2837063061662694e-06]
['LSS' 3.2700359258269915e-06]
['ABCG2' 3.2666347558282027e-06]
['CD33' 3.26602385207067e-06]
['DVL3' 3.2645943252610726e-06]
['PDPK1' 3.262628533198498e-06]
['LOC165186' 3.2615656635259493e-06]
['CASD1' 3.260279235340566e-06]
['FZD2' 3.256433742636199e-06]
['PDLIM1' 3.2550663632669814e-06]
['MGC42090' 3.2524059892233118e-06]
['MSX2' 3.251981096076023e-06]
['FAM3D' 3.2497860036752567e-06]
['LRRC59' 3.2471009140378653e-06]
['C16orf14' 3.237044698920286e-06]
['QRICH2' 3.2327554296834702e-06]
['RCAN1' 3.2288584557767e-06]
['NOL11' 3.2217021245573863e-06]
['SLITRK5' 3.2196592725412074e-06]
['SH3BGR' 3.213907076729112e-06]
['SCP2' 3.209046282084269e-06]
['SCO2' 3.2045535212299725e-06]
['HSPB8' 3.2036093535058693e-06]
['TRIM31' 3.202700424721548e-06]
['BRCC3' 3.195866503510382e-06]
['RASL10B' 3.1896803961932334e-06]
['MATK' 3.1888492430579505e-06]
['MAPBPIP' 3.188799894089444e-06]
['NUP85' 3.188432613224989e-06]
['B3GNTL1' 3.187458988798279e-06]
['FLJ39378' 3.1843617921160976e-06]
['RSAD2' 3.1843556700109745e-06]
['CLCN1' 3.1819008884801205e-06]
['FGL1' 3.179616998705101e-06]
['CD300E' 3.1764823868586943e-06]
['IGHMBP2' 3.1760812686164958e-06]
['FLJ11184' 3.175328741572972e-06]
['NANOS1' 3.1729618364315802e-06]
['PXT1' 3.1703265112624414e-06]
['RARB' 3.1666761233361874e-06]
['ATP2B2' 3.164530637424625e-06]
['HFM1' 3.1602036099520745e-06]
['NCAPD3' 3.1556936169833365e-06]
['FLJ39653' 3.1514691865902143e-06]
['WDR65' 3.1483171363875713e-06]
['GABRP' 3.14736848431164e-06]
['ADIPOR1' 3.1446061860626454e-06]
['CLDN23' 3.144192803562634e-06]
['LHX1' 3.1418036280323886e-06]
['STRA6' 3.1385442339764616e-06]
['KIAA1576' 3.135541653006951e-06]
['LRRC56' 3.1350258852123506e-06]
['H2AFV' 3.132339829399272e-06]
['MYCN' 3.1309141017112127e-06]
['TESC' 3.1286475060935596e-06]
['IRX6' 3.119976870577634e-06]
['EPSTI1' 3.1165435769025435e-06]
['ABCA10' 3.106893319039164e-06]
['SMTN' 3.100364503207697e-06]
['FLJ25006' 3.0935272548668367e-06]
['SLC16A5' 3.0914437814669947e-06]
['GRM4' 3.0837531926769246e-06]
['UTRN' 3.0816333016164734e-06]
['NOTCH3' 3.0789849982966196e-06]
['CALML6' 3.072252835861979e-06]
['ZNF33A' 3.070660819817946e-06]
['GJA12' 3.0630809016843e-06]
['PRRG4' 3.0569266656030086e-06]
['LCAT' 3.0483864043077065e-06]
['NBPF15' 3.046932589100395e-06]
['FLJ40298' 3.0468720269540314e-06]
['RPL32' 3.044396443432279e-06]
['FAM92A3' 3.035654981891103e-06]
['IRAK1BP1' 3.031136568974141e-06]
['ZNF304' 3.0261372955924902e-06]
['NECAP1' 3.0234938918963086e-06]
['BUD13' 3.0212629699093322e-06]
['GNA11' 3.013031975315322e-06]
['BEST4' 3.008383393392221e-06]
['HSD17B7' 3.005701894723536e-06]
['TTC29' 2.9975808536888324e-06]
['KRT76' 2.996431968112392e-06]
['FTSJ2' 2.9903980124407487e-06]
['CALR3' 2.9899328353219044e-06]
['XIRP1' 2.983258692091858e-06]
['VAMP3' 2.979681599193596e-06]
['NOL8' 2.973784868626063e-06]
['ST13' 2.972470440473941e-06]
['POLR1A' 2.962751636048091e-06]
['AMAC1L2' 2.962631282135591e-06]
['ENTPD8' 2.9607585504620136e-06]
['INTS10' 2.9565218219049487e-06]
['ZNF645' 2.956457773069561e-06]
['KIR3DL2' 2.954779066742506e-06]
['PBX3' 2.950075425817042e-06]
['PDE8A' 2.9478964612572426e-06]
['SYCP1' 2.9458811043638643e-06]
['CLIP3' 2.943798041069981e-06]
['FBXO34' 2.9400929179931716e-06]
['KIAA1826' 2.9369180113509164e-06]
['CNTD1' 2.9368821343000512e-06]
['POU4F1' 2.935221470744455e-06]
['CCDC54' 2.9315722108078617e-06]
['ARRB2' 2.930562644978714e-06]
['TSPAN16' 2.9290756618868958e-06]
['TSC22D1' 2.9282824003887764e-06]
['PTCD1' 2.9282496033603954e-06]
['BTBD1' 2.9220973640657697e-06]
['ACRC' 2.9217353328301763e-06]
['NTN2L' 2.9166725832827275e-06]
['LEAP2' 2.9156186342198107e-06]
['CRIP1' 2.9113944601421796e-06]
['DUSP9' 2.8975402050815894e-06]
['GPR83' 2.8972322509732085e-06]
['FBXL12' 2.895272936004156e-06]
['ARHGEF16' 2.8946791151574475e-06]
['LOC730092' 2.8915496520634863e-06]
['MESP1' 2.891211104673447e-06]
['OR5A2' 2.885438275588309e-06]
['IFNGR2' 2.8785029172568906e-06]
['OR8H2' 2.8701504503427626e-06]
['SEPT7' 2.8682380204948673e-06]
['ZNF626' 2.8665265439638124e-06]
['SGSH' 2.862938022204269e-06]
['HSPA2' 2.8620967716383765e-06]
['TMEM28' 2.8563932613473147e-06]
['SMARCD3' 2.8530095739597145e-06]
['EDEM2' 2.848156033373792e-06]
['MON2' 2.839466911313328e-06]
['IPO9' 2.8316860565191636e-06]
['LECT1' 2.830937422503494e-06]
['TRPC6' 2.8182465935228958e-06]
['SGCZ' 2.811595495275024e-06]
['ACF' 2.811186746327792e-06]
['TGFBRAP1' 2.810582988431668e-06]
['ZBTB26' 2.798900064841417e-06]
['PLAA' 2.7877219294807397e-06]
['KLHL6' 2.7847416590697627e-06]
['ADH4' 2.784564298955034e-06]
['ADPRH' 2.7787459318627653e-06]
['CRTAC1' 2.776498567390216e-06]
['SOHLH2' 2.7717536180584575e-06]
['C1orf198' 2.7691170873148084e-06]
['BPHL' 2.767466940627916e-06]
['ITIH3' 2.760176924304e-06]
['ZNF185' 2.7591982661377073e-06]
['GADD45A' 2.7586027372594913e-06]
['SLC22A9' 2.757512463027296e-06]
['C9orf25' 2.753223843832043e-06]
['EARS2' 2.749727099649589e-06]
['PARP1' 2.7445303568246532e-06]
['KLHL15' 2.7404268436583078e-06]
['SNX19' 2.739183810483831e-06]
['ZNF622' 2.7357220707539124e-06]
['BBS5' 2.7355516655310177e-06]
['FLJ10324' 2.734779782367145e-06]
['CFHR4' 2.73341806799715e-06]
['PXDNL' 2.7299519426288682e-06]
['C1orf71' 2.7284990024816477e-06]
['KIAA1324' 2.7270213956467415e-06]
['GALNS' 2.7247044812058963e-06]
['ACR' 2.7238921246759858e-06]
['KIN' 2.723537372644479e-06]
['C10orf11' 2.7229082736880055e-06]
['LOC126075' 2.7188358203991546e-06]
['TMEM117' 2.711991710080604e-06]
['TBXAS1' 2.7111184405264883e-06]
['MED19' 2.7069879513036576e-06]
['SPTLC2' 2.706488220679497e-06]
['FLJ22167' 2.704727170564103e-06]
['HELB' 2.703862023619802e-06]
['TTC5' 2.693982539489114e-06]
['EDG8' 2.693275591512703e-06]
['PDE9A' 2.6883805366496324e-06]
['LOC286526' 2.6848519051366644e-06]
['CYP51A1' 2.6659830469353498e-06]
['FLJ20489' 2.664808258819718e-06]
['PLXNB3' 2.659969424956439e-06]
['CSNK1D' 2.659941205865849e-06]
['KLHDC8B' 2.639390428036536e-06]
['TCTN3' 2.636699712989023e-06]
['TMEM83' 2.636043341478519e-06]
['LDLRAD3' 2.6287456121929225e-06]
['GABBR1' 2.6253832688036184e-06]
['PPP1R16B' 2.6241117187993432e-06]
['SLC1A5' 2.623376214515504e-06]
['NY-SAR-48' 2.621874957552127e-06]
['KIAA0415' 2.6174258194307665e-06]
['OLFM4' 2.6153801757048574e-06]
['AMH' 2.6120669352121262e-06]
['RREB1' 2.611577390020956e-06]
['HAP1' 2.6098672470223037e-06]
['C19orf40' 2.6038531084078306e-06]
['CA1' 2.6031019543587686e-06]
['GPRC5B' 2.5953713922141987e-06]
['CAMP' 2.594729345542908e-06]
['ZNF579' 2.5911481701594655e-06]
['ESF1' 2.587790492341171e-06]
['RBM6' 2.584791991866927e-06]
['ZNF205' 2.5814569528302802e-06]
['HAAO' 2.5800991018325848e-06]
['CDC26' 2.5774664287999914e-06]
['UBE1C' 2.5765388725356986e-06]
['ALS2CR13' 2.57084633878207e-06]
['TADA2L' 2.5700572085700692e-06]
['MRPS23' 2.56709818647703e-06]
['KCNG2' 2.565723371514148e-06]
['MGP' 2.5598514584873164e-06]
['BTNL8' 2.5549442602500813e-06]
['C1QTNF4' 2.5548208499592985e-06]
['INPP4A' 2.553312325080113e-06]
['ARHGAP30' 2.5529302785241614e-06]
['PTER' 2.5528316657499417e-06]
['EPB49' 2.5465070027480706e-06]
['POP4' 2.546349251981837e-06]
['OR51G1' 2.5388566761677213e-06]
['TOP2A' 2.5386002583740066e-06]
['LOC51035' 2.536074046151328e-06]
['GPR135' 2.533001272155733e-06]
['WNT16' 2.532510745777607e-06]
['B3GNT2' 2.5278235231477273e-06]
['PHOX2B' 2.5195476836796487e-06]
['RCN2' 2.5195476836796487e-06]
['RBP4' 2.5149703081506286e-06]
['SCN2A' 2.5143499964591595e-06]
['FAIM3' 2.5123943505525826e-06]
['MLLT6' 2.5113356161776135e-06]
['MAP6D1' 2.5066567397356214e-06]
['DCHS1' 2.5014395693232606e-06]
['TSPAN15' 2.498662770147313e-06]
['CLRN3' 2.490368316969422e-06]
['GSTP1' 2.4890833528245957e-06]
['PLEKHB2' 2.485741538745763e-06]
['APOOL' 2.485391616425888e-06]
['TNFRSF9' 2.485321911305489e-06]
['IPO4' 2.4831085115002323e-06]
['CYFIP1' 2.4698019856824777e-06]
['LCOR' 2.4645883328739043e-06]
['OR52R1' 2.4615279379979747e-06]
['MCM3APAS' 2.4553038872509782e-06]
['CLDN18' 2.454640088359386e-06]
['KRT12' 2.45157653676213e-06]
['C14orf153' 2.449256104562162e-06]
['PIB5PA' 2.443889357375641e-06]
['DDX4' 2.4434447471198594e-06]
['PNMA6A' 2.43607587734294e-06]
['ZSWIM7' 2.433808049968346e-06]
['MRPL22' 2.4330938899751405e-06]
['PPY' 2.4324159055151783e-06]
['GLUD2' 2.4307424230302117e-06]
['AYTL1' 2.429917725792451e-06]
['ATP6V0D2' 2.42949014220715e-06]
['TOMM40' 2.4265698137557743e-06]
['ELP3' 2.420390965362367e-06]
['LOC100101267' 2.4176894042877776e-06]
['MSRB2' 2.414998906507813e-06]
['TPM4' 2.413689935510621e-06]
['EPC2' 2.412971854937526e-06]
['WNT6' 2.4017457864080934e-06]
['ANKRD12' 2.4006334476218563e-06]
['SPATA6' 2.400494432992789e-06]
['MYO1D' 2.3998877949806664e-06]
['PA2G4' 2.394928302885816e-06]
['PABPN1' 2.3948194527131295e-06]
['ADNP' 2.3945758521774877e-06]
['HERPUD2' 2.393742562628999e-06]
['DNAJB4' 2.393579642282702e-06]
['SCN4B' 2.3911064642524544e-06]
['PCDHB1' 2.3899460979858833e-06]
['RTP3' 2.3841334194612115e-06]
['NTRK3' 2.3805258837403922e-06]
['GKAP1' 2.3790278949007486e-06]
['CLTCL1' 2.3629161486117407e-06]
['C19orf62' 2.359911250956628e-06]
['UTP18' 2.3596250428847943e-06]
['CHTF18' 2.3578972450540483e-06]
['C17orf75' 2.352764361827902e-06]
['C14orf155' 2.350860241691306e-06]
['SPRY2' 2.3488230190198816e-06]
['TRPC3' 2.343913241765794e-06]
['ZNF792' 2.343905076067403e-06]
['TNS1' 2.338790260804122e-06]
['SMOX' 2.3382499450477533e-06]
['CD40' 2.3362245795335267e-06]
['DPYSL4' 2.333338066626182e-06]
['APCDD1L' 2.3274907102063763e-06]
['SELI' 2.322560791651864e-06]
['RBCK1' 2.316001187669345e-06]
['CNTNAP3' 2.312971268110226e-06]
['CHORDC1' 2.3116959874914047e-06]
['KRT77' 2.309291915215608e-06]
['HNRPK' 2.3081219229335676e-06]
['RGS16' 2.3080375491111433e-06]
['EIF4A2' 2.3066849485591446e-06]
['NAT9' 2.3046014465548374e-06]
['SLC22A15' 2.299765479775047e-06]
['SGCE' 2.2957619547764907e-06]
['TREML1' 2.293044530340869e-06]
['OBP2A' 2.2903008151275488e-06]
['GTPBP3' 2.28838170294824e-06]
['FDFT1' 2.285196745583793e-06]
['CCRN4L' 2.282213789552145e-06]
['AHDC1' 2.279628917609779e-06]
['RCBTB1' 2.2767770325455532e-06]
['ATP13A1' 2.2761647471269114e-06]
['IRAK4' 2.275945222134756e-06]
['UROS' 2.2734278205252424e-06]
['CIP29' 2.273086037117382e-06]
['MYT1' 2.269084667538702e-06]
['RNF25' 2.2645539329404887e-06]
['ZNF655' 2.2639021459027708e-06]
['SEC14L3' 2.262803452800887e-06]
['ATP4A' 2.260464577489213e-06]
['CADM1' 2.2601742636519874e-06]
['FAM131B' 2.2578704123201004e-06]
['NCOA5' 2.2518634802730013e-06]
['TSPYL4' 2.250934979076499e-06]
['TM4SF20' 2.2453739082702483e-06]
['C17orf50' 2.240985730679111e-06]
['FLJ39822' 2.234283563882035e-06]
['CTAGEP' 2.2337719649527148e-06]
['CCNB1' 2.2315585563469095e-06]
['OR7A10' 2.2298701632643957e-06]
['ZNF236' 2.22793166299621e-06]
['ALKBH3' 2.2274517293945297e-06]
['C10orf95' 2.2212938779167246e-06]
['IQUB' 2.22115876046177e-06]
['SPAG16' 2.2166713614147222e-06]
['TMEM157' 2.2046199918174205e-06]
['ACTL6A' 2.2032873060738202e-06]
['TSHZ1' 2.2032324597145765e-06]
['DEPDC4' 2.2012669414132215e-06]
['FUT1' 2.20037236553932e-06]
['SMARCA4' 2.200264118917784e-06]
['MGC3196' 2.199164209865647e-06]
['ERN1' 2.1965437119969755e-06]
['FSIP1' 2.1882107867169626e-06]
['CNNM4' 2.186937736196349e-06]
['SFXN1' 2.179507168358011e-06]
